id,city-address,type,passability,area,Average of money,Average of profit,Average of our_clients,Count of Index
6203,"г. Хабаровск, ул. Красноармейская, д. 31",0,16579,617.6,,,,
6204,"г. Хабаровск, ул. Красноармейская, д. 33",0,14898,680.8,,,,
6205,"г. Хабаровск, ул. Красноармейская, д. 35",0,30475,666.8,,,,
6206,"г. Хабаровск, ул. Красноармейская, д. 37",0,35110,603.4,,,,
6207,"г. Хабаровск, ул. Красноармейская, д. 6",1,73482,7986.7,,,,
6208,"г. Хабаровск, ул. Краснодарская, д. 10",0,7123,30.7,,,,
6209,"г. Хабаровск, ул. Краснодарская, д. 15",0,141553,12074.3,,,,
6210,"г. Хабаровск, ул. Краснодарская, д. 17",1,140270,11603.3,,,,
6211,"г. Хабаровск, ул. Краснодарская, д. 19",0,133847,9038.2,,,,
6212,"г. Хабаровск, ул. Краснодарская, д. 21",0,110939,7442.7,,,,
6213,"г. Хабаровск, ул. Краснодарская, д. 21А",0,69577,4411,,,,
6214,"г. Хабаровск, ул. Краснодарская, д. 22",0,61216,3364,,,,
6215,"г. Хабаровск, ул. Краснодарская, д. 23",0,23946,498.1,,,,
6216,"г. Хабаровск, ул. Краснодарская, д. 23А",0,108615,5837.1,,,,
6217,"г. Хабаровск, ул. Краснодарская, д. 23Б",0,36691,4331.1,,,,
6218,"г. Хабаровск, ул. Краснодарская, д. 23В",0,86038,6406.5,,,,
6219,"г. Хабаровск, ул. Краснодарская, д. 25",1,21997,1633.5,,,,
6220,"г. Хабаровск, ул. Краснодарская, д. 25А",0,77899,4384.2,,,,
6221,"г. Хабаровск, ул. Краснодарская, д. 27",0,37143,1635.6,,,,
6222,"г. Хабаровск, ул. Краснодарская, д. 29",0,20709,1616.2,,,,
6223,"г. Хабаровск, ул. Краснодарская, д. 31",0,21096,1740.4,,,,
6224,"г. Хабаровск, ул. Краснодарская, д. 31А",0,60716,7516.3,,,,
6225,"г. Хабаровск, ул. Краснодарская, д. 31б",0,32443,1362.5,,,,
6226,"г. Хабаровск, ул. Краснодарская, д. 32",0,129642,9252.9,,,,
6227,"г. Хабаровск, ул. Краснодарская, д. 33",0,39692,1607.9,,,,
